,ngay,KLDichRong,GiaTriGiaoDichRong,ThayDoi,KhoiLuongMua,GiaTriMua,KhoiLuongBan,GiaTriBan,symbol  
1,25/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

2,24/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

3,23/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

4,22/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

5,19/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

6,18/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

7,17/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

8,16/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

9,15/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

10,12/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

11,11/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

12,10/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

13,09/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

14,08/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

15,05/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

16,04/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

17,03/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

18,02/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

19,01/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

0,29/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

1,28/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

2,27/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

3,26/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

4,25/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

5,22/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

6,21/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

7,20/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

8,19/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

9,18/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

10,15/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

11,14/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

12,13/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

13,12/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

14,11/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

15,08/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

16,07/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

17,06/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

18,05/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

19,04/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

0,01/10/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

1,30/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

2,29/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

3,28/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

4,27/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

5,24/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

6,23/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

7,22/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

8,21/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

9,20/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

10,17/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

11,16/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

12,15/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

13,14/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

14,13/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

15,10/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

16,09/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

17,08/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

18,07/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

19,06/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

0,01/09/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

1,31/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

2,30/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

3,27/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

4,26/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

5,25/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

6,24/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

7,23/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

8,20/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

9,19/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

10,18/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

11,17/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

12,16/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

13,13/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

14,12/08/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

15,11/08/2021,0 ,0 ,7.8 (14.71 %)   ,0 ,0 ,0 ,0 ,HLR

16,10/08/2021,0 ,0 ,6.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

17,09/08/2021,0 ,0 ,6.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

18,06/08/2021,0 ,0 ,6.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

19,05/08/2021,0 ,0 ,6.8 (38.78 %)   ,0 ,0 ,0 ,0 ,HLR

0,04/08/2021,0 ,0 ,4.9 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

1,03/08/2021,0 ,0 ,4.9 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

2,02/08/2021,0 ,0 ,4.9 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

3,30/07/2021,0 ,0 ,4.9 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

4,29/07/2021,0 ,0 ,4.9 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

5,28/07/2021,0 ,0 ,4.9 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

6,27/07/2021,0 ,0 ,4.9 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

7,26/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

8,23/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

9,22/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

10,21/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

11,20/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

12,19/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

13,16/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

14,15/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

15,14/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

16,13/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

17,12/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

18,09/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

19,08/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

0,07/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

1,06/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

2,05/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

3,02/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

4,01/07/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

5,30/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

6,29/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

7,28/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

8,25/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

9,24/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

10,23/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

11,22/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

12,18/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

